100,Ann Sthen,15-02-2000,Freestyle,asdf@herts.ac.uk,5,2,1,9
101,George Beth Shon,30-04-2000,Butterfly,sdzsaws@herts.ac.uk,2,6,5,5
102,Kaith Andy Clos,25-11-1999,Freestyle,awda@herts.ac.uk,4,7,2,2
103,Rinon Grov,24-08-1997,Butterfly,iuhkj@herts.ac.uk,1,1,5,7
104,Mark Do Leno,18-07-1998,Butterfly,kjhi@herts.ac.uk,5,7,4,2
105,Harry Patrick,05-12-1999,Butterfly,ju@herts.ac.uk,2,6,5,8
106,Vicy Mathew,04-04-2004,Butterfly,gihj@herts.ac.uk,6,2,9,5
107,Monica Loy,01-01-2001,Freestyle,iuhut@herts.ac.uk,4,4,8,2
108,Susan Mathew,02-02-2002,Freestyle,jhhkhi@herts.ac.uk,5,6,5,3
109,Andy Stov,03-03-2003,Freestyle,gug@herts.ac.uk,6,2,9,6
110,Mary Francis,04-04-2004,Butterfly,yh@herts.ac.uk,7,9,6,6
111,Jomon Vicy,15-05-1995,Butterfly,kjbk@herts.ac.uk,6,9,10,9
112,Catherin George,19-09-1999,Butterfly,t@herts.ac.uk,1,4,4,2
113,Aby Mathew,06-06-1996,Butterfly,htry@herts.ac.uk,2,3,6,5
114,Jojo Mony,08-02-2002,Butterfly,kygtuy@herts.ac.uk,2,3,6,7
115,Methen George,29-12-2001,Butterfly,ds@herts.ac.uk,4,7,7,8
116,Scarlett John,08-08-1998,Freestyle,lijo@herts.ac.uk,3,4,6,5
117,Patrick Shanon,16-07-1997,Butterfly,j@herts.ac.uk,4,9,9,10
118,Rod Stod,31-03-1998,Butterfly,tyuhg@herts.ac.uk,5,9,2,4
119,Lijo Willams,15-08-1999,Butterfly,rty@herts.ac.uk,6,2,5,8
